date_time,Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),Verified (m),diked_model_m,volume_m3,Qtotal_m3s
2022-07-21 09:42:00,2022/07/21,09:42,9.003,-,9.56,2.9138880000000005,1.1921073212717546,725797.871534024,-13.121288026594353
2022-07-21 09:48:00,2022/07/21,09:48,9.055,-,9.6,2.9260800000000002,1.1999877587497392,730521.535223598,-13.144550484861508
2022-07-21 09:54:00,2022/07/21,09:54,9.096,-,9.63,2.9352240000000003,1.20782217961653,735253.5733981482,-13.163342675305056
2022-07-21 10:00:00,2022/07/21,10:00,9.127,-,9.67,2.947416,1.2156678010130852,739992.376761258,-13.186509695478904
2022-07-21 10:06:00,2022/07/21,10:06,9.147,-,9.71,2.9596080000000002,1.2235272304273799,744739.5202516305,-13.209647814002214
2022-07-21 10:12:00,2022/07/21,10:12,9.158,-,9.72,2.9626560000000004,1.2314004506334393,749494.9934646713,-13.219619772853111
2022-07-21 10:18:00,2022/07/21,10:18,9.158,-,9.73,2.965704,1.239279614330879,754254.0565828985,-13.229588785138137
2022-07-21 10:24:00,2022/07/21,10:24,9.148,-,9.73,2.965704,1.2471647197634854,759016.7085455483,-13.235179249269617
2022-07-21 10:30:00,2022/07/21,10:30,9.128,-,9.69,2.953512,1.2550531572270271,763781.3730752853,-13.22326065411773
2022-07-21 10:36:00,2022/07/21,10:36,9.098,-,9.64,2.9382720000000004,1.2628868431401217,768541.7469107677,-13.206908411075691
2022-07-21 10:42:00,2022/07/21,10:42,9.059,-,9.58,2.9199840000000004,1.2706721818772815,773296.233938755,-13.186111363216458
2022-07-21 10:48:00,2022/07/21,10:48,9.011,-,9.53,2.904744,1.278445260965379,778043.234029513,-13.169672018283382
2022-07-21 10:54:00,2022/07/21,10:54,8.953,-,9.44,2.877312,1.2862086492261506,782784.315956095,-13.135585856767083
2022-07-21 11:00:00,2022/07/21,11:00,8.887,-,9.34,2.846832,1.293951944039963,787513.1268645312,-13.096981300281861
2022-07-21 11:06:00,2022/07/21,11:06,8.812,-,9.23,2.8133040000000005,1.301672481858748,792228.0401326327,-13.053818267190525
2022-07-21 11:12:00,2022/07/21,11:12,8.728,-,9.13,2.782824,1.309367575506719,796927.4147088213,-13.01494809990064
2022-07-21 11:18:00,2022/07/21,11:18,8.637,-,9.03,2.752344,1.3170397555847837,801612.7960247856,-12.975950549006527
2022-07-21 11:24:00,2022/07/21,11:24,8.537,-,8.95,2.72796,1.3246409742855634,806284.1382224279,-12.945731497454073
2022-07-21 11:30:00,2022/07/21,11:30,8.43,-,8.82,2.688336,1.3321907597485885,810944.6015615114,-12.892992283315941
2022-07-21 11:36:00,2022/07/21,11:36,8.316,-,8.68,2.645664,1.3397097883747124,815586.0787835051,-12.83551936003084
2022-07-21 11:42:00,2022/07/21,11:42,8.195,-,8.54,2.602992,1.347195299525148,820206.8657531162,-12.777775991807658
2022-07-21 11:48:00,2022/07/21,11:48,8.067,-,8.42,2.5664160000000003,1.354647135479857,824806.865110167,-12.728845332813886
2022-07-21 11:54:00,2022/07/21,11:54,7.932,-,8.28,2.5237439999999998,1.3620704356984406,829389.24942998,0.5329450128727395
2022-07-21 12:00:00,2022/07/21,12:00,7.792,-,8.12,2.474976,1.3617596289656138,829197.3892253458,0.535542382907746
2022-07-21 12:06:00,2022/07/21,12:06,7.645,-,7.97,2.429256,1.3614473074797164,829004.593967499,0.5380281110813514
2022-07-21 12:12:00,2022/07/21,12:12,7.493,-,7.8,2.37744,1.3611335363488584,828810.9038475096,0.5409123382079877
2022-07-21 12:18:00,2022/07/21,12:18,7.336,-,7.66,2.334768,1.3608180831735337,828616.1754057548,0.5433396287037286
2022-07-21 12:24:00,2022/07/21,12:24,7.174,-,7.5,2.286,1.3605012144333564,828420.5731394215,0.546181841545143
2022-07-21 12:30:00,2022/07/21,12:30,7.006,-,7.35,2.24028,1.3601826881509074,828223.9476764653,0.5489134918868356
2022-07-21 12:36:00,2022/07/21,12:36,6.835,-,7.14,2.176272,1.3598625688048263,828026.338819386,0.5528670368125688
2022-07-21 12:42:00,2022/07/21,12:42,6.659,-,6.96,2.121408,1.3595401438017793,827827.3066861335,0.5563772380193157
2022-07-21 12:48:00,2022/07/21,12:48,6.478,-,6.79,2.069592,1.3592156716941675,827627.0108804465,0.5598084173796247
2022-07-21 12:54:00,2022/07/21,12:54,6.294,-,6.6,2.01168,1.3588891985665237,827425.4798501899,0.5637965249503093
2022-07-21 13:00:00,2022/07/21,13:00,6.107,-,6.47,1.972056,1.35856039962542,827222.5131012078,0.5666198245654988
2022-07-21 13:06:00,2022/07/21,13:06,5.916,-,6.29,1.917192,1.3582299541719973,827018.5299643643,-4.216342916514141
2022-07-21 13:12:00,2022/07/21,13:12,5.721,-,6.12,1.8653760000000001,1.3606888715738057,828536.4134143094,-3.9737444624540537
2022-07-21 13:18:00,2022/07/21,13:18,5.524,-,5.93,1.807464,1.3630063086519895,829966.9614207929,-3.6887029815271246
2022-07-21 13:24:00,2022/07/21,13:24,5.325,-,5.76,1.755648,1.3651575131747178,831294.8944941426,-3.4163865252164802
2022-07-21 13:30:00,2022/07/21,13:30,5.123,-,5.57,1.6977360000000001,1.3671499062140162,832524.7936432206,-3.0910070206706366
2022-07-21 13:36:00,2022/07/21,13:36,4.92,-,5.37,1.636776,1.3689525420770694,833637.5561706619,-2.716596416830555
2022-07-21 13:42:00,2022/07/21,13:42,4.715,-,5.12,1.5605760000000002,1.3705368264522495,834615.5308807209,-2.1849108798688275
2022-07-21 13:48:00,2022/07/21,13:48,4.509,-,4.9,1.4935200000000002,1.371811038604887,835402.0987974737,-1.617479018415895
2022-07-21 13:54:00,2022/07/21,13:54,4.304,-,4.7,1.43256,1.372754331734548,835984.3912441034,-0.9376290529934328
2022-07-21 14:00:00,2022/07/21,14:00,4.098,-,4.49,1.3685520000000002,1.3733011450370942,836321.937703181,0.7170114762434148
2022-07-21 14:06:00,2022/07/21,14:06,3.893,-,4.34,1.322832,1.3728829930909312,836063.8135717334,0.8536909803565285
2022-07-21 14:12:00,2022/07/21,14:12,3.69,-,4.16,1.2679680000000002,1.3723851314015645,835756.4848188051,0.9414654179050185
2022-07-21 14:18:00,2022/07/21,14:18,3.489,-,3.99,1.2161520000000001,1.3718360807799417,835417.5572683593,1.0045328620364007
2022-07-21 14:24:00,2022/07/21,14:24,3.291,-,3.81,1.161288,1.371250250029441,835055.9254380262,1.0607280771800285
2022-07-21 14:30:00,2022/07/21,14:30,3.098,-,3.64,1.109472,1.3706316469463404,834674.0633302414,1.1073643343205415
2022-07-21 14:36:00,2022/07/21,14:36,2.909,-,3.48,1.060704,1.3699858461930055,834275.4121698859,1.1471774146903801
2022-07-21 14:42:00,2022/07/21,14:42,2.725,-,3.28,0.999744,1.369316826959087,833862.4283005974,1.1929064365583502
2022-07-21 14:48:00,2022/07/21,14:48,2.548,-,3.06,0.9326880000000001,1.368621139142972,833432.9819834364,1.2391064312109348
2022-07-21 14:54:00,2022/07/21,14:54,2.379,-,2.9,0.88392,1.3678985080793402,832986.9036682005,1.2703906422541575
2022-07-21 15:00:00,2022/07/21,15:00,2.217,-,2.73,0.8321040000000001,1.3671576324629147,832529.563036989,3.544847380218618
2022-07-21 15:06:00,2022/07/21,15:06,2.064,-,2.59,0.789432,1.3650903226917304,831253.4179801103,3.6524527396599797
2022-07-21 15:12:00,2022/07/21,15:12,1.922,-,2.46,0.749808,1.3629602588476213,829938.5349938327,3.748491061132774
2022-07-21 15:18:00,2022/07/21,15:18,1.789,-,2.31,0.704088,1.3607741866795724,828589.0782118249,3.856386549905745
2022-07-21 15:24:00,2022/07/21,15:24,1.668,-,2.18,0.664464,1.3585251912388736,827200.7790538588,3.9461959094851338
2022-07-21 15:30:00,2022/07/21,15:30,1.558,-,2.07,0.6309359999999999,1.3562238201253496,825780.1485264442,19.156689520683656
2022-07-21 15:36:00,2022/07/21,15:36,1.46,-,1.95,0.59436,1.3450518831752138,818883.7402989981,23.356277528680426
2022-07-21 15:42:00,2022/07/21,15:42,1.375,-,1.88,0.573024,1.3314308000721782,810475.4803886731,24.97608639583976
